Coin;Price;24h Change;7d Trend;Market Cap;Volume;Sentiment
BTC;"=GOOGLEFINANCE(""CURRENCY:BTCUSD"")";-0.006;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:BTCUSD""; ""price""; HOY()-7; HOY()))";"=GOOGLEFINANCE(""CURRENCY:BTCUSD""; ""marketcap"")";"=GOOGLEFINANCE(""CURRENCY:BTCUSD""; ""volume"")";"=IF(""CURRENCY:BTCUSD"" <> """"; ""Bull""; ""Bear"")"
ETH;"=GOOGLEFINANCE(""CURRENCY:ETHUSD"")";0.0005;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:ETHUSD""; ""price""; HOY()-7; HOY()))";"=GOOGLEFINANCE(""CURRENCY:ETHUSD""; ""marketcap"")";"=GOOGLEFINANCE(""CURRENCY:ETHUSD""; ""volume"")";"=IF(""CURRENCY:ETHUSD"" <> """"; ""Bull""; ""Bear"")"
SOL;"=GOOGLEFINANCE(""CURRENCY:SOLUSD"")";-0.0013;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:SOLUSD""; ""price""; HOY()-7; HOY()))";"=GOOGLEFINANCE(""CURRENCY:SOLUSD""; ""marketcap"")";"=GOOGLEFINANCE(""CURRENCY:SOLUSD""; ""volume"")";"=IF(""CURRENCY:SOLUSD"" <> """"; ""Bull""; ""Bear"")"
BNB;"=GOOGLEFINANCE(""CURRENCY:BNBUSD"")";-0.003;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:BNBUSD""; ""price""; HOY()-7; HOY()))";"=GOOGLEFINANCE(""CURRENCY:BNBUSD""; ""marketcap"")";"=GOOGLEFINANCE(""CURRENCY:BNBUSD""; ""volume"")";"=IF(""CURRENCY:BNBUSD"" <> """"; ""Bull""; ""Bear"")"
XRP;"=GOOGLEFINANCE(""CURRENCY:XRPUSD"")";0.0027;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:XRPUSD""; ""price""; HOY()-7; HOY()))";"=GOOGLEFINANCE(""CURRENCY:XRPUSD""; ""marketcap"")";"=GOOGLEFINANCE(""CURRENCY:XRPUSD""; ""volume"")";"=IF(""CURRENCY:XRPUSD"" <> """"; ""Bull""; ""Bear"")"
ADA;"=GOOGLEFINANCE(""CURRENCY:ADAUSD"")";0.0072;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:ADAUSD""; ""price""; HOY()-7; HOY()))";"=GOOGLEFINANCE(""CURRENCY:ADAUSD""; ""marketcap"")";"=GOOGLEFINANCE(""CURRENCY:ADAUSD""; ""volume"")";"=IF(""CURRENCY:ADAUSD"" <> """"; ""Bull""; ""Bear"")"
DOGE;"=GOOGLEFINANCE(""CURRENCY:DOGEUSD"")";-0.0027;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:DOGEUSD""; ""price""; HOY()-7; HOY()))";"=GOOGLEFINANCE(""CURRENCY:DOGEUSD""; ""marketcap"")";"=GOOGLEFINANCE(""CURRENCY:DOGEUSD""; ""volume"")";"=IF(""CURRENCY:DOGEUSD"" <> """"; ""Bull""; ""Bear"")"
AVAX;"=GOOGLEFINANCE(""CURRENCY:AVAXUSD"")";0.0045;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:AVAXUSD""; ""price""; HOY()-7; HOY()))";"=GOOGLEFINANCE(""CURRENCY:AVAXUSD""; ""marketcap"")";"=GOOGLEFINANCE(""CURRENCY:AVAXUSD""; ""volume"")";"=IF(""CURRENCY:AVAXUSD"" <> """"; ""Bull""; ""Bear"")"
DOT;"=GOOGLEFINANCE(""CURRENCY:DOTUSD"")";0.0201;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:DOTUSD""; ""price""; HOY()-7; HOY()))";"=GOOGLEFINANCE(""CURRENCY:DOTUSD""; ""marketcap"")";"=GOOGLEFINANCE(""CURRENCY:DOTUSD""; ""volume"")";"=IF(""CURRENCY:DOTUSD"" <> """"; ""Bull""; ""Bear"")"
LINK;"=GOOGLEFINANCE(""CURRENCY:LINKUSD"")";0.012;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:LINKUSD""; ""price""; HOY()-7; HOY()))";"=GOOGLEFINANCE(""CURRENCY:LINKUSD""; ""marketcap"")";"=GOOGLEFINANCE(""CURRENCY:LINKUSD""; ""volume"")";"=IF(""CURRENCY:LINKUSD"" <> """"; ""Bull""; ""Bear"")"
TRX;"=GOOGLEFINANCE(""CURRENCY:TRXUSD"")";0.001;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:TRXUSD""; ""price""; HOY()-7; HOY()))";"=GOOGLEFINANCE(""CURRENCY:TRXUSD""; ""marketcap"")";"=GOOGLEFINANCE(""CURRENCY:TRXUSD""; ""volume"")";"=IF(""CURRENCY:TRXUSD"" <> """"; ""Bull""; ""Bear"")"
NEAR;"=GOOGLEFINANCE(""CURRENCY:NEARUSD"")";0.0157;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:NEARUSD""; ""price""; HOY()-7; HOY()))";"=GOOGLEFINANCE(""CURRENCY:NEARUSD""; ""marketcap"")";"=GOOGLEFINANCE(""CURRENCY:NEARUSD""; ""volume"")";"=IF(""CURRENCY:NEARUSD"" <> """"; ""Bull""; ""Bear"")"
SHIB;"=GOOGLEFINANCE(""CURRENCY:SHIBUSD"")";0.115;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:SHIBUSD""; ""price""; HOY()-7; HOY()))";"=GOOGLEFINANCE(""CURRENCY:SHIBUSD""; ""marketcap"")";"=GOOGLEFINANCE(""CURRENCY:SHIBUSD""; ""volume"")";"=IF(""CURRENCY:SHIBUSD"" <> """"; ""Bull""; ""Bear"")"
LTC;"=GOOGLEFINANCE(""CURRENCY:LTCUSD"")";0.0037;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:LTCUSD""; ""price""; HOY()-7; HOY()))";"=GOOGLEFINANCE(""CURRENCY:LTCUSD""; ""marketcap"")";"=GOOGLEFINANCE(""CURRENCY:LTCUSD""; ""volume"")";"=IF(""CURRENCY:LTCUSD"" <> """"; ""Bull""; ""Bear"")"
BCH;"=GOOGLEFINANCE(""CURRENCY:BCHUSD"")";-0.004;"=SPARKLINE(GOOGLEFINANCE(""CURRENCY:BCHUSD""; ""price""; HOY()-7; HOY()))";"=GOOGLEFINANCE(""CURRENCY:BCHUSD""; ""marketcap"")";"=GOOGLEFINANCE(""CURRENCY:BCHUSD""; ""volume"")";"=IF(""CURRENCY:BCHUSD"" <> """"; ""Bull""; ""Bear"")"
